Campaign Number,Start Date,End Date,Channel,Channel_id,CampaignType,Campaign_type_id,Client,Client_id,Address,City,State,Zip,Email,Contact,Gender,Age,Audience_id,Target Location,Location_id,Views,Likes,Clicks,Conversions,Expense,Total Sales,Executive,Executive_id
C239,2023-08-08,2023-08-17,Instagram,CH004,Sales,CT002,Lyons PLC,CL 022,20804 Burgess Trace,Petersenburgh,WV,31082,nicholastaylor@yahoo.com,Sharon Crawford,Female,60+,AU002,UK,LO006,49227.0,5760.0,1189.0,669.0,3663.51,53507.5,Lauren Riggs,EX001
C240,2023-10-01,2023-10-07,TikTok,CH003,Sales,CT002,"Arnold, Smith and Ward",CL 058,Unit 2316 Box 4709,DPO AA 90463-5066,,,michelle93@pineda-small.com,Karen Bryan,Teens,13-19,AU008,Japan,LO005,18306.0,2551.0,3790.0,192.0,40526.03,31321.06,Jesus Rivera,EX004
C241,2023-07-02,2023-07-28,Instagram,CH004,Sign Up,CT001,"Bradley, Jackson and Miller",CL 026,190 Bradley Mill Suite 940,Craigbury,MO,18832,hansonpatrick@hunt.com,Dr. David Glass Jr.,Teens,13-19,AU008,UK,LO006,39779.0,301.0,2969.0,778.0,25050.42,0.0,Melissa Haynes,EX008
C242,2023-03-24,2023-04-21,YouTube,CH001,Sign Up,CT001,Patterson and Sons,CL 006,0171 Patricia Street Suite 265,Frankmouth,MS,50700-0717,nataliemartinez@hotmail.com,Christopher Riggs,Female,18-40,AU004,India,LO008,49274.0,7642.0,864.0,546.0,45462.95,0.0,Jesus Rivera,EX004
C243,2023-04-08,2023-04-25,TikTok,CH003,Sales,CT002,Edwards LLC,CL 043,123 Amanda Summit,Lake Marietown,IL,81773-5493,tinamckay@sharp-smith.com,Matthew Davis,Male,60+,AU005,Canada,LO003,57194.0,4740.0,1387.0,426.0,22195.76,79503.33,Melissa Haynes,EX008
C244,2023-11-25,2023-12-08,Email,CH002,Sales,CT002,"Salinas, Rodriguez and Bowman",CL 074,04604 Davidson Underpass Apt. 439,Lake Tiffany,DC,35416,gutierrezjames@yahoo.com,Laura Caldwell,Male,18-40,AU009,UK,LO006,45050.0,785.0,3276.0,955.0,14095.29,106615.39,Thomas Ryan,EX003
C245,2023-12-01,2023-12-29,TikTok,CH003,Sales,CT002,Reyes-Rios,CL 030,49937 Christopher Unions,Gutierrezmouth,MI,13751-5785,cunninghamjerry@gmail.com,Eric Davis,Male,40-60,AU003,LATAM,LO002,18222.0,2139.0,2232.0,546.0,2704.04,48056.86,Wesley Simon,EX005
C246,2023-11-24,2023-12-07,Instagram,CH004,Sign Up,CT001,Vaughan Group,CL 051,PSC 0937,Box 0339,APO AP,AP 98521,baldwinhailey@klein-fitzgerald.com,Ashley Carter,Adults,18-40,AU001,India,LO008,41919.0,5266.0,2162.0,60.0,48198.53,0.0,Jesus Rivera,EX004
C247,2023-07-05,2023-07-17,TikTok,CH003,Sales,CT002,"Hernandez, Keller and Berry",CL 072,Unit 2637 Box 1240,DPO AE 48178,,,mary90@yahoo.com,Kristin Carson,Female,40-60,AU010,India,LO008,49487.0,5232.0,290.0,503.0,31751.24,54182.86,Thomas Ryan,EX003
C248,2023-11-28,2023-12-03,TikTok,CH003,Sales,CT002,"Russell, Wilson and Rogers",CL 004,27907 Deborah Hill Suite 235,Abigailbury,CO,58408,michael78@yahoo.com,Michael Howard,Female,60+,AU002,Europe,LO004,48676.0,6957.0,1404.0,67.0,48003.68,51338.83,Thomas Ryan,EX003
C249,2023-10-25,2023-11-08,Facebook,CH005,Sign Up,CT001,"Cohen, Williams and Hess",CL 061,93243 Lee Loop Apt. 832,North Jonathanland,MP,43605-6685,shawn39@gmail.com,Mr. Nicholas Ramirez,Female,60+,AU002,USA,LO001,3552.0,2267.0,2193.0,776.0,5731.82,0.0,Jesus Rivera,EX004
C250,2023-07-02,2023-07-10,YouTube,CH001,Sales,CT002,Herrera-Cook,CL 040,0613 David Haven Apt. 354,North Samantha,MI,10699-1384,ijordan@gmail.com,Madison York,Female,18-40,AU004,USA,LO001,6999.0,5059.0,1520.0,870.0,15337.51,30077.82,Wesley Simon,EX005
C251,2023-05-23,2023-05-24,Facebook,CH005,Sales,CT002,"Morris, Johnson and Anderson",CL 021,065 John Street,West Adamchester,NV,72944-3914,johnsondonald@meyer.com,Sandy Mathis,Male,40-60,AU003,Japan,LO005,50597.0,6044.0,4848.0,829.0,47775.13,56296.21,Kyle Serrano,EX010
C252,2023-02-03,2023-02-15,Email,CH002,Sign Up,CT001,Jones LLC,CL 035,89103 Jennings Cape Suite 740,South Dianafort,FL,68504,norrisjames@pearson-burton.biz,Danielle Hernandez,Female,18-40,AU004,India,LO008,44685.0,7146.0,2472.0,195.0,34858.39,0.0,Aaron Faulkner,EX009
C253,2023-03-30,2023-04-23,YouTube,CH001,Sales,CT002,Harmon Inc,CL 075,3532 Carla Spurs Suite 631,East Susanside,VA,63110-6508,steven77@miller.com,Heidi Black,Teens,13-19,AU008,Canada,LO003,69497.0,4449.0,2161.0,661.0,33824.73,46755.01,Kyle Serrano,EX010
C254,2023-12-28,2024-01-08,YouTube,CH001,Sales,CT002,Melton-Smith,CL 045,03793 Jacobs Branch,West Max,MA,54633-3659,mercertimothy@huff.com,Patrick Abbott,Female,40-60,AU010,UK,LO006,42913.0,8735.0,2052.0,156.0,43875.02,29269.43,Lauren Riggs,EX001
C255,2023-11-29,2023-12-17,Email,CH002,Sales,CT002,Lopez PLC,CL 001,0806 Watson Drive Suite 662,Port Andrea,DE,42578-2286,zmcintyre@bauer.info,Barbara Walker,Adults,18-40,AU001,LATAM,LO002,92432.0,3803.0,2670.0,899.0,2443.89,71667.2,Lauren Riggs,EX001
C256,2023-02-26,2023-03-21,TikTok,CH003,Sales,CT002,Fisher Group,CL 023,880 Watson Ramp Suite 059,Reynoldsfurt,GU,10725,brian57@hotmail.com,Jeremy Baker,Female,18-40,AU004,USA,LO001,29162.0,3113.0,405.0,884.0,42149.82,54315.81,Melissa Haynes,EX008
C257,2023-06-19,2023-07-08,Facebook,CH005,Sign Up,CT001,Hughes-Sullivan,CL 076,5874 Guerra Courts Suite 368,South Codyhaven,OR,93465,williamsnathaniel@yahoo.com,Roy Obrien,Adults,18-40,AU001,UK,LO006,70893.0,1460.0,108.0,918.0,12450.96,0.0,Brandon Townsend Jr.,EX002
C258,2023-12-08,2023-12-22,Facebook,CH005,Sales,CT002,"Rowe, Morse and Morgan",CL 059,247 Young Spur,North Jacobview,WI,24275,hstafford@yahoo.com,Destiny Atkins,Adults,40-60,AU007,Canada,LO003,10409.0,2284.0,698.0,578.0,18122.36,30568.35,Becky Brown,EX006
C259,2023-11-25,2023-12-14,TikTok,CH003,Sign Up,CT001,Lyons PLC,CL 022,20804 Burgess Trace,Petersenburgh,WV,31082,nicholastaylor@yahoo.com,Sharon Crawford,Seniors,60+,AU006,LATAM,LO002,64277.0,2793.0,2892.0,211.0,25246.47,0.0,Lauren Riggs,EX001
C260,2023-03-19,2023-04-05,TikTok,CH003,Sales,CT002,"Holloway, Cox and Ford",CL 046,7800 Dorsey Tunnel Suite 734,West Tracy,UT,56027,joseph49@hodges-campbell.com,Dennis Carr,Male,60+,AU005,USA,LO001,52085.0,5853.0,2313.0,83.0,9598.66,42383.64,Brandon Townsend Jr.,EX002
C261,2023-02-17,2023-02-21,Email,CH002,Sales,CT002,"Weaver, Garner and Ramos",CL 002,2933 Ortiz Overpass Suite 099,South Douglasburgh,KY,52632-7557,oscott@gmail.com,Melinda Johnston,Male,18-40,AU009,Europe,LO004,11318.0,7532.0,419.0,227.0,46395.27,72293.18,Brandon Townsend Jr.,EX002
C262,2023-01-26,2023-02-04,YouTube,CH001,Sign Up,CT001,Weaver-Hoover,CL 007,050 Andrews Green,North Renee,VT,22014-1131,jacqueline32@dominguez.biz,Kathy Mahoney,Female,40-60,AU010,Australia,LO007,38312.0,9046.0,1095.0,383.0,19841.55,0.0,Brandon Townsend Jr.,EX002
C263,2023-05-18,2023-06-05,Email,CH002,Sales,CT002,Riley PLC,CL 018,699 Anderson Glen,Parkerside,AZ,15616-1374,jennifer09@york.org,Gary Reed,Seniors,60+,AU006,Europe,LO004,29780.0,7666.0,1319.0,288.0,19213.68,73372.25,Kyle Serrano,EX010
C264,2023-10-06,2023-11-02,Facebook,CH005,Sign Up,CT001,Reyes-Rios,CL 030,49937 Christopher Unions,Gutierrezmouth,MI,13751-5785,cunninghamjerry@gmail.com,Eric Davis,Adults,18-40,AU001,Canada,LO003,16680.0,1429.0,4901.0,785.0,25834.85,0.0,Wesley Simon,EX005
C265,2023-10-02,2023-10-15,YouTube,CH001,Sign Up,CT001,Pearson-Shah,CL 077,5117 Suzanne Branch,Barnesmouth,VA,53846,anthony54@perez.com,Shannon Martinez,Male,18-40,AU009,Japan,LO005,78790.0,3047.0,4540.0,154.0,35104.71,0.0,Jesus Rivera,EX004
C266,2023-12-15,2024-01-01,TikTok,CH003,Sales,CT002,Reyes-Rios,CL 030,49937 Christopher Unions,Gutierrezmouth,MI,13751-5785,cunninghamjerry@gmail.com,Eric Davis,Teens,13-19,AU008,Europe,LO004,47138.0,5670.0,753.0,209.0,8919.17,74530.88,Wesley Simon,EX005
C267,2023-06-11,2023-06-12,Instagram,CH004,Sales,CT002,"Jones, Miranda and Martin",CL 055,45011 Marc Roads Apt. 548,Johnsonbury,NJ,40892,kristenhoward@yahoo.com,Christine Barnes,Male,40-60,AU003,USA,LO001,46229.0,388.0,3594.0,65.0,9698.99,74181.57,Thomas Ryan,EX003
C268,2023-12-24,2024-01-04,Facebook,CH005,Sign Up,CT001,Lyons PLC,CL 022,20804 Burgess Trace,Petersenburgh,WV,31082,nicholastaylor@yahoo.com,Sharon Crawford,Female,18-40,AU004,Japan,LO005,55356.0,9752.0,3522.0,9.0,41521.94,0.0,Lauren Riggs,EX001
C269,2023-01-18,2023-01-28,YouTube,CH001,Sales,CT002,Lewis PLC,CL 013,621 Woodard Manors Apt. 208,Port Amy,ME,05157-2612,beth20@gmail.com,Diana Love,Female,18-40,AU004,USA,LO001,49440.0,7366.0,4549.0,115.0,37006.86,61245.4,Thomas Ryan,EX003
C270,2023-06-22,2023-07-11,Instagram,CH004,Sales,CT002,"Fox, Carter and Cunningham",CL 033,99919 Michelle Green Apt. 424,West Hannah,KY,63482-6699,bradymcclain@hotmail.com,Andre Manning,Seniors,60+,AU006,Europe,LO004,54282.0,8645.0,4654.0,945.0,47381.95,66880.46,Brandon Townsend Jr.,EX002
C271,2023-06-02,2023-06-30,TikTok,CH003,Sign Up,CT001,Herrera-Cook,CL 040,0613 David Haven Apt. 354,North Samantha,MI,10699-1384,ijordan@gmail.com,Madison York,Adults,40-60,AU007,Japan,LO005,60243.0,1886.0,1459.0,479.0,6350.77,0.0,Wesley Simon,EX005
C272,2023-05-22,2023-06-11,Facebook,CH005,Sales,CT002,"Morris, Johnson and Anderson",CL 021,065 John Street,West Adamchester,NV,72944-3914,johnsondonald@meyer.com,Sandy Mathis,Male,18-40,AU009,Japan,LO005,44967.0,7515.0,4479.0,576.0,49165.84,70483.49,Kyle Serrano,EX010
C273,2023-07-28,2023-08-08,TikTok,CH003,Sign Up,CT001,Jackson Inc,CL 015,96299 Miller Spur,Jensenfurt,CA,97794-3156,jeremy09@yahoo.com,Karen Rivers,Female,60+,AU002,India,LO008,40872.0,3804.0,4711.0,553.0,18294.51,0.0,Thomas Ryan,EX003
C274,2023-04-19,2023-05-14,YouTube,CH001,Sign Up,CT001,"Holloway, Cox and Ford",CL 046,7800 Dorsey Tunnel Suite 734,West Tracy,UT,56027,joseph49@hodges-campbell.com,Dennis Carr,Male,18-40,AU009,India,LO008,19926.0,1565.0,1665.0,502.0,33168.43,0.0,Brandon Townsend Jr.,EX002
C275,2023-01-11,2023-02-02,TikTok,CH003,Sales,CT002,"Ramos, Gomez and Garcia",CL 056,PSC 8675,Box 2798,APO AA,AA 82949-7770,huntdavid@orr.info,Eric Harrison,Male,60+,AU005,India,LO008,9413.0,601.0,433.0,393.0,13779.68,45385.97,Kyle Serrano,EX010
C276,2023-04-29,2023-05-12,Instagram,CH004,Sales,CT002,Lewis-Martinez,CL 067,37059 Bates Prairie Suite 432,Port Robertmouth,MN,28374,joshua06@king.com,Angela Anderson,Female,18-40,AU004,Europe,LO004,86592.0,176.0,622.0,133.0,42298.12,47465.61,Aaron Faulkner,EX009
C277,2023-03-06,2023-03-25,Instagram,CH004,Sales,CT002,Wade PLC,CL 041,3571 Harvey Centers,Ronaldfurt,NY,35589-6805,nhall@hotmail.com,Lacey Crane,Male,60+,AU005,UK,LO006,88603.0,3637.0,4448.0,436.0,1521.88,45547.23,Lauren Riggs,EX001
C278,2023-06-25,2023-07-05,Email,CH002,Sales,CT002,Reyes-Rios,CL 030,49937 Christopher Unions,Gutierrezmouth,MI,13751-5785,cunninghamjerry@gmail.com,Eric Davis,Adults,40-60,AU007,USA,LO001,7433.0,5626.0,2456.0,427.0,35126.7,73654.2,Wesley Simon,EX005
C279,2023-05-29,2023-05-30,YouTube,CH001,Sales,CT002,Pearson-Shah,CL 077,5117 Suzanne Branch,Barnesmouth,VA,53846,anthony54@perez.com,Shannon Martinez,Teens,13-19,AU008,Australia,LO007,49501.0,7596.0,1874.0,243.0,23405.52,42724.19,Jesus Rivera,EX004
C280,2023-11-30,2023-12-27,Email,CH002,Sales,CT002,Walter Ltd,CL 017,591 Gallegos Shore,East Jennifer,VT,67675,gravessusan@gonzalez.com,Sarah Warren,Female,40-60,AU010,LATAM,LO002,29954.0,5314.0,2521.0,376.0,32658.57,63205.99,Aaron Faulkner,EX009
C281,2023-02-28,2023-03-29,Facebook,CH005,Sign Up,CT001,Reed-Johnson,CL 070,01161 Mcintyre Burg,Robinsonport,CO,51964,stacy50@bates-martin.com,John Terrell,Male,60+,AU005,Australia,LO007,50133.0,2819.0,2190.0,788.0,5045.36,0.0,Becky Brown,EX006
C282,2023-06-25,2023-07-18,Facebook,CH005,Sign Up,CT001,"Holloway, Cox and Ford",CL 046,7800 Dorsey Tunnel Suite 734,West Tracy,UT,56027,joseph49@hodges-campbell.com,Dennis Carr,Female,60+,AU002,India,LO008,60550.0,896.0,4112.0,400.0,25131.41,0.0,Brandon Townsend Jr.,EX002
C283,2023-12-08,2023-12-19,Email,CH002,Sales,CT002,"Morris, Johnson and Anderson",CL 021,065 John Street,West Adamchester,NV,72944-3914,johnsondonald@meyer.com,Sandy Mathis,Female,18-40,AU004,USA,LO001,55597.0,183.0,2812.0,112.0,36218.33,26221.69,Kyle Serrano,EX010
C284,2023-05-24,2023-06-17,YouTube,CH001,Sales,CT002,Cooper-Alexander,CL 039,01438 Kristin Fords Apt. 626,Port Paula,WA,20979-6415,gchavez@yang.com,Alexandria Hansen,Adults,40-60,AU007,UK,LO006,1635.0,6010.0,2903.0,655.0,22870.55,80901.69,Thomas Ryan,EX003
C285,2023-07-19,2023-08-09,Instagram,CH004,Sales,CT002,Jimenez and Sons,CL 048,8451 Walter Fords Apt. 737,South Danielchester,CT,12719-1372,amartinez@oconnell.com,Justin Cole,Female,60+,AU002,UK,LO006,47051.0,4195.0,3301.0,638.0,7636.7,78795.77,Jesus Rivera,EX004
C286,2023-01-19,2023-02-17,Email,CH002,Sales,CT002,Edwards LLC,CL 043,123 Amanda Summit,Lake Marietown,IL,81773-5493,tinamckay@sharp-smith.com,Matthew Davis,Female,40-60,AU010,Europe,LO004,86575.0,3507.0,4583.0,848.0,31135.38,72241.75,Melissa Haynes,EX008
C287,2023-04-12,2023-04-26,YouTube,CH001,Sign Up,CT001,"Jones, Miranda and Martin",CL 055,45011 Marc Roads Apt. 548,Johnsonbury,NJ,40892,kristenhoward@yahoo.com,Christine Barnes,Teens,13-19,AU008,LATAM,LO002,78607.0,2227.0,118.0,533.0,7123.0,0.0,Thomas Ryan,EX003
C288,2023-01-28,2023-02-23,Email,CH002,Sales,CT002,White Ltd,CL 005,172 Angela Crescent Apt. 306,North Laura,HI,69094-7497,jeremy56@gmail.com,Nathan Weber,Female,40-60,AU010,LATAM,LO002,88620.0,2517.0,923.0,782.0,21730.71,24258.78,Jesus Rivera,EX004
C289,2023-03-22,2023-04-21,Instagram,CH004,Sales,CT002,Ramirez-Wilson,CL 011,6802 Scott Ways,Jasonbury,NM,94299-7873,robertellis@simpson-gutierrez.com,Christine Nguyen,Male,60+,AU005,Canada,LO003,23729.0,5216.0,3157.0,195.0,27155.8,94962.33,Becky Brown,EX006
C290,2023-09-13,2023-10-04,Facebook,CH005,Sales,CT002,Reed-Johnson,CL 070,01161 Mcintyre Burg,Robinsonport,CO,51964,stacy50@bates-martin.com,John Terrell,Seniors,60+,AU006,India,LO008,59959.0,1179.0,1717.0,375.0,38813.68,65491.17,Becky Brown,EX006
C291,2023-10-24,2023-11-18,Instagram,CH004,Sign Up,CT001,Anderson Inc,CL 034,Unit 0015 Box 7678,DPO AE 55030-2816,,,jgomez@gmail.com,Morgan Gross,Seniors,60+,AU006,India,LO008,46400.0,1744.0,2307.0,693.0,22702.47,0.0,Thomas Ryan,EX003
C292,2023-12-23,2023-12-25,Instagram,CH004,Sales,CT002,"Hernandez, Keller and Berry",CL 072,Unit 2637 Box 1240,DPO AE 48178,,,mary90@yahoo.com,Kristin Carson,Adults,40-60,AU007,UK,LO006,91497.0,8424.0,4850.0,667.0,22472.58,74148.35,Thomas Ryan,EX003
C293,2023-10-16,2023-10-23,YouTube,CH001,Sales,CT002,Drake-Vasquez,CL 038,8980 Cox Park,South Robert,NV,66099-6728,tylersheila@hicks.com,Teresa Doyle,Male,60+,AU005,Australia,LO007,2264.0,3548.0,2766.0,527.0,18305.89,50170.13,Michael Camacho,EX007
C294,2023-11-20,2023-12-02,Instagram,CH004,Sales,CT002,Mitchell-Rojas,CL 064,Unit 7421 Box 5134,DPO AE 60814,,,johnathan43@hotmail.com,Benjamin Anthony,Adults,40-60,AU007,Europe,LO004,32046.0,3670.0,681.0,273.0,44367.51,33801.45,Thomas Ryan,EX003
C295,2023-06-08,2023-06-18,Instagram,CH004,Sales,CT002,"Rowe, Morse and Morgan",CL 059,247 Young Spur,North Jacobview,WI,24275,hstafford@yahoo.com,Destiny Atkins,Female,60+,AU002,Canada,LO003,91003.0,983.0,4595.0,164.0,10171.02,36350.3,Becky Brown,EX006
C296,2023-11-30,2023-12-25,Email,CH002,Sales,CT002,Patterson and Sons,CL 006,0171 Patricia Street Suite 265,Frankmouth,MS,50700-0717,nataliemartinez@hotmail.com,Christopher Riggs,Seniors,60+,AU006,Canada,LO003,22873.0,4249.0,555.0,364.0,37109.37,56324.99,Jesus Rivera,EX004
C297,2023-09-16,2023-10-13,Facebook,CH005,Sales,CT002,Ramirez-Wilson,CL 011,6802 Scott Ways,Jasonbury,NM,94299-7873,robertellis@simpson-gutierrez.com,Christine Nguyen,Female,40-60,AU010,Japan,LO005,84089.0,8526.0,1949.0,932.0,40168.16,78496.61,Becky Brown,EX006
C298,2023-04-20,2023-04-28,Facebook,CH005,Sales,CT002,"Holmes, Johnson and Rodriguez",CL 025,USCGC Erickson,FPO AE 00735-4383,,,polsen@alexander-smith.net,Anne Foley,Adults,40-60,AU007,India,LO008,16388.0,2784.0,2761.0,992.0,5001.57,39526.63,Wesley Simon,EX005
C299,2023-11-12,2023-12-05,Instagram,CH004,Sales,CT002,Thomas-Proctor,CL 031,820 Butler Streets Suite 875,North Denisehaven,WV,66736-0964,brownmario@leonard.com,Angela Moore,Female,40-60,AU010,India,LO008,26571.0,4017.0,2809.0,342.0,14355.98,62283.11,Wesley Simon,EX005
C300,2023-01-22,2023-02-04,TikTok,CH003,Sales,CT002,Valentine-Dunn,CL 027,723 Julia Burg,Bartonhaven,VT,86914,gharrington@yahoo.com,Nathan May,Seniors,60+,AU006,Australia,LO007,69008.0,1054.0,1962.0,558.0,31697.81,67561.92,Melissa Haynes,EX008
C301,2023-07-04,2023-07-19,Instagram,CH004,Sales,CT002,Patterson and Sons,CL 006,0171 Patricia Street Suite 265,Frankmouth,MS,50700-0717,nataliemartinez@hotmail.com,Christopher Riggs,Male,18-40,AU009,LATAM,LO002,70387.0,8301.0,2988.0,959.0,11043.77,40597.85,Jesus Rivera,EX004
C302,2023-07-28,2023-08-10,Instagram,CH004,Sales,CT002,Lewis-Martinez,CL 067,37059 Bates Prairie Suite 432,Port Robertmouth,MN,28374,joshua06@king.com,Angela Anderson,Teens,13-19,AU008,Australia,LO007,72426.0,2326.0,3578.0,983.0,7033.14,58082.29,Aaron Faulkner,EX009
C303,2023-03-16,2023-03-19,Instagram,CH004,Sales,CT002,Green-Blake,CL 050,230 Brandon Bypass Apt. 679,New Melissa,TN,37505-3043,karenpayne@yahoo.com,Dustin Ramirez,Male,60+,AU005,Japan,LO005,41672.0,8720.0,1739.0,786.0,13014.36,60947.69,Jesus Rivera,EX004
C304,2023-01-04,2023-01-17,Facebook,CH005,Sign Up,CT001,Gray Ltd,CL 024,Unit 4555 Box 7398,DPO AE 23911-7290,,,owenmelinda@yahoo.com,Mark Long,Male,40-60,AU003,Australia,LO007,48382.0,8160.0,1199.0,165.0,25875.11,0.0,Jesus Rivera,EX004
C305,2023-07-03,2023-07-18,YouTube,CH001,Sales,CT002,"Jones, Miranda and Martin",CL 055,45011 Marc Roads Apt. 548,Johnsonbury,NJ,40892,kristenhoward@yahoo.com,Christine Barnes,Female,60+,AU002,USA,LO001,67940.0,8130.0,2140.0,913.0,18403.61,30498.91,Thomas Ryan,EX003
C306,2023-04-24,2023-04-28,TikTok,CH003,Sales,CT002,"Bush, Mendez and Smith",CL 028,791 Darryl Squares Suite 934,Holdenport,OH,41129-2197,churchtimothy@yahoo.com,Patrick Williams,Adults,18-40,AU001,Australia,LO007,27943.0,5896.0,4699.0,704.0,9322.49,70653.27,Brandon Townsend Jr.,EX002
C307,2023-08-10,2023-08-23,Facebook,CH005,Sales,CT002,Gray Ltd,CL 024,Unit 4555 Box 7398,DPO AE 23911-7290,,,owenmelinda@yahoo.com,Mark Long,Male,40-60,AU003,USA,LO001,83245.0,6240.0,1470.0,285.0,18078.17,69311.66,Jesus Rivera,EX004
C308,2023-10-05,2023-10-24,Instagram,CH004,Sales,CT002,"James, Phelps and Burgess",CL 032,026 Good Ports Apt. 881,Port Adam,KY,82799-9255,edurham@hotmail.com,Vanessa Miranda,Teens,13-19,AU008,India,LO008,73576.0,4916.0,2143.0,194.0,18799.43,49139.08,Lauren Riggs,EX001
C309,2023-02-07,2023-03-05,TikTok,CH003,Sales,CT002,Benjamin and Sons,CL 068,861 Knox Cape Apt. 731,Lake John,CA,62474,lrice@yahoo.com,Derek Juarez,Male,18-40,AU009,UK,LO006,81806.0,4085.0,742.0,887.0,8596.07,56240.83,Thomas Ryan,EX003
C310,2023-05-02,2023-05-29,Email,CH002,Sign Up,CT001,Gray Ltd,CL 024,Unit 4555 Box 7398,DPO AE 23911-7290,,,owenmelinda@yahoo.com,Mark Long,Male,60+,AU005,USA,LO001,23729.0,3829.0,4405.0,698.0,12131.43,0.0,Jesus Rivera,EX004
C311,2023-10-19,2023-11-06,Email,CH002,Sales,CT002,"Weaver, Garner and Ramos",CL 002,2933 Ortiz Overpass Suite 099,South Douglasburgh,KY,52632-7557,oscott@gmail.com,Melinda Johnston,Female,40-60,AU010,Canada,LO003,55453.0,2279.0,2984.0,251.0,23522.39,61836.95,Brandon Townsend Jr.,EX002
C312,2023-02-22,2023-03-11,Instagram,CH004,Sales,CT002,"Rowe, Morse and Morgan",CL 059,247 Young Spur,North Jacobview,WI,24275,hstafford@yahoo.com,Destiny Atkins,Female,18-40,AU004,Japan,LO005,99807.0,3394.0,489.0,59.0,21483.7,44894.07,Becky Brown,EX006
C313,2023-07-20,2023-08-19,Facebook,CH005,Sales,CT002,Gray Ltd,CL 024,Unit 4555 Box 7398,DPO AE 23911-7290,,,owenmelinda@yahoo.com,Mark Long,Adults,40-60,AU007,USA,LO001,55546.0,6515.0,4100.0,17.0,45123.25,39186.39,Jesus Rivera,EX004
C314,2023-08-13,2023-09-10,TikTok,CH003,Sign Up,CT001,"Ruiz, Cox and Meyer",CL 071,5058 Frank Locks,Blackmouth,MI,7896,vjohnson@yahoo.com,Anne Davis,Female,40-60,AU010,Europe,LO004,76967.0,1271.0,2908.0,707.0,19850.01,0.0,Aaron Faulkner,EX009
C315,2023-02-07,2023-02-15,YouTube,CH001,Sales,CT002,"Morris, Johnson and Anderson",CL 021,065 John Street,West Adamchester,NV,72944-3914,johnsondonald@meyer.com,Sandy Mathis,Teens,13-19,AU008,UK,LO006,63818.0,5083.0,1065.0,929.0,36978.25,77854.46,Kyle Serrano,EX010
C316,2023-06-18,2023-06-22,Instagram,CH004,Sign Up,CT001,Roberts-Howe,CL 066,64572 Dawn Forges Suite 455,South Samantha,PA,33248-5599,mckenziebrandon@allen.biz,Robert Mcintosh,Male,60+,AU005,UK,LO006,29086.0,8795.0,1814.0,822.0,21713.61,0.0,Brandon Townsend Jr.,EX002
C317,2023-08-23,2023-08-24,Email,CH002,Sales,CT002,Reed-Johnson,CL 070,01161 Mcintyre Burg,Robinsonport,CO,51964,stacy50@bates-martin.com,John Terrell,Adults,40-60,AU007,Europe,LO004,89148.0,772.0,4576.0,794.0,27686.76,42918.85,Becky Brown,EX006
C318,2023-11-23,2023-12-06,Email,CH002,Sales,CT002,"Parker, Velasquez and Dixon",CL 036,33302 Fuller Lakes,West Christopher,MH,17095,hutchinsonmary@gmail.com,Brian George,Male,60+,AU005,Europe,LO004,10599.0,7566.0,4261.0,237.0,4692.45,39421.33,Aaron Faulkner,EX009
C319,2023-06-20,2023-07-13,YouTube,CH001,Sales,CT002,"Morris, Johnson and Anderson",CL 021,065 John Street,West Adamchester,NV,72944-3914,johnsondonald@meyer.com,Sandy Mathis,Male,60+,AU005,India,LO008,55478.0,4716.0,2943.0,440.0,23539.15,42152.05,Kyle Serrano,EX010
C320,2023-10-14,2023-10-27,YouTube,CH001,Sign Up,CT001,"Holmes, Johnson and Rodriguez",CL 025,USCGC Erickson,FPO AE 00735-4383,,,polsen@alexander-smith.net,Anne Foley,Male,60+,AU005,Europe,LO004,28659.0,5530.0,542.0,864.0,25249.59,0.0,Wesley Simon,EX005
C321,2023-06-08,2023-07-05,Email,CH002,Sales,CT002,Gray Ltd,CL 024,Unit 4555 Box 7398,DPO AE 23911-7290,,,owenmelinda@yahoo.com,Mark Long,Male,18-40,AU009,India,LO008,44011.0,4099.0,4775.0,601.0,17351.1,25803.58,Jesus Rivera,EX004
C322,2023-02-05,2023-02-12,Instagram,CH004,Sales,CT002,Valentine-Dunn,CL 027,723 Julia Burg,Bartonhaven,VT,86914,gharrington@yahoo.com,Nathan May,Female,40-60,AU010,Europe,LO004,45671.0,3488.0,3591.0,12.0,18384.96,39471.45,Melissa Haynes,EX008
C323,2023-11-29,2023-12-17,Email,CH002,Sign Up,CT001,Reyes-Rios,CL 030,49937 Christopher Unions,Gutierrezmouth,MI,13751-5785,cunninghamjerry@gmail.com,Eric Davis,Adults,18-40,AU001,India,LO008,46579.0,4273.0,4777.0,712.0,31332.02,0.0,Wesley Simon,EX005
C324,2023-01-28,2023-02-02,YouTube,CH001,Sales,CT002,Edwards LLC,CL 043,123 Amanda Summit,Lake Marietown,IL,81773-5493,tinamckay@sharp-smith.com,Matthew Davis,Female,60+,AU002,India,LO008,60646.0,9488.0,3052.0,295.0,32056.49,29335.87,Melissa Haynes,EX008
C325,2023-05-09,2023-05-10,Facebook,CH005,Sales,CT002,Lyons PLC,CL 022,20804 Burgess Trace,Petersenburgh,WV,31082,nicholastaylor@yahoo.com,Sharon Crawford,Seniors,60+,AU006,Europe,LO004,90907.0,6692.0,3219.0,299.0,11141.95,44638.38,Lauren Riggs,EX001
